"Method","Uri","Action","Noun","OurCommand","Evidence"
"DELETE","/admin/configurationManagement","keep",,"Remove-MgAdminConfigurationManagement","Remove-MgAdminConfigurationManagement"
"DELETE","/admin/configurationManagement/configurationDrifts/{param}","keep",,"Remove-MgAdminConfigurationManagementConfigurationDrift","Remove-MgAdminConfigurationManagementConfigurationDrift"
"DELETE","/admin/configurationManagement/configurationMonitoringResults/{param}","keep",,"Remove-MgAdminConfigurationManagementConfigurationMonitoringResult","Remove-MgAdminConfigurationManagementConfigurationMonitoringResult"
"DELETE","/admin/configurationManagement/configurationMonitors/{param}","keep",,"Remove-MgAdminConfigurationManagementConfigurationMonitor","Remove-MgAdminConfigurationManagementConfigurationMonitor"
"DELETE","/admin/configurationManagement/configurationMonitors/{param}/baseline","keep",,"Remove-MgAdminConfigurationManagementConfigurationMonitorBaseline","Remove-MgAdminConfigurationManagementConfigurationMonitorBaseline"
"DELETE","/admin/configurationManagement/configurationSnapshotJobs/{param}","keep",,"Remove-MgAdminConfigurationManagementConfigurationSnapshotJob","Remove-MgAdminConfigurationManagementConfigurationSnapshotJob"
"DELETE","/admin/configurationManagement/configurationSnapshots/{param}","keep",,"Remove-MgAdminConfigurationManagementConfigurationSnapshot","Remove-MgAdminConfigurationManagementConfigurationSnapshot"
"DELETE","/admin/edge","keep",,"Remove-MgAdminEdge","Remove-MgAdminEdge"
"DELETE","/admin/edge/internetExplorerMode","keep",,"Remove-MgAdminEdgeInternetExplorerMode","Remove-MgAdminEdgeInternetExplorerMode"
"DELETE","/admin/edge/internetExplorerMode/siteLists/{param}","keep",,"Remove-MgAdminEdgeInternetExplorerModeSiteList","Remove-MgAdminEdgeInternetExplorerModeSiteList"
"DELETE","/admin/edge/internetExplorerMode/siteLists/{param}/sharedCookies/{param}","keep",,"Remove-MgAdminEdgeInternetExplorerModeSiteListSharedCookie","Remove-MgAdminEdgeInternetExplorerModeSiteListSharedCookie"
"DELETE","/admin/edge/internetExplorerMode/siteLists/{param}/sites/{param}","keep",,"Remove-MgAdminEdgeInternetExplorerModeSiteListSite","Remove-MgAdminEdgeInternetExplorerModeSiteListSite"
"DELETE","/admin/people/itemInsights","keep",,"Remove-MgAdminPeopleItemInsight","Remove-MgAdminPeopleItemInsight"
"DELETE","/admin/people/profileCardProperties/{param}","keep",,"Remove-MgAdminPeopleProfileCardProperty","Remove-MgAdminPeopleProfileCardProperty"
"DELETE","/admin/people/profilePropertySettings/{param}","keep",,"Remove-MgAdminPeopleProfilePropertySetting","Remove-MgAdminPeopleProfilePropertySetting"
"DELETE","/admin/people/profileSources/{param}","keep",,"Remove-MgAdminPeopleProfileSource","Remove-MgAdminPeopleProfileSource"
"DELETE","/admin/reportSettings","keep",,"Remove-MgAdminReportSetting","Remove-MgAdminReportSetting"
"DELETE","/admin/serviceAnnouncement","suppress",,"Remove-MgAdminServiceAnnouncement","no oracle row for DELETE /admin/serviceAnnouncement and 'Remove-MgAdminServiceAnnouncement' unshipped"
"DELETE","/admin/serviceAnnouncement/healthOverviews/{param}","suppress",,"Remove-MgAdminServiceAnnouncementHealthOverview","no oracle row for DELETE /admin/serviceAnnouncement/healthOverviews/{param} and 'Remove-MgAdminServiceAnnouncementHealthOverview' unshipped"
"DELETE","/admin/serviceAnnouncement/healthOverviews/{param}/issues/{param}","suppress",,"Remove-MgAdminServiceAnnouncementHealthOverviewIssue","no oracle row for DELETE /admin/serviceAnnouncement/healthOverviews/{param}/issues/{param} and 'Remove-MgAdminServiceAnnouncementHealthOverviewIssue' unshipped"
"DELETE","/admin/serviceAnnouncement/issues/{param}","suppress",,"Remove-MgAdminServiceAnnouncementIssue","no oracle row for DELETE /admin/serviceAnnouncement/issues/{param} and 'Remove-MgAdminServiceAnnouncementIssue' unshipped"
"DELETE","/admin/serviceAnnouncement/messages/{param}","suppress",,"Remove-MgAdminServiceAnnouncementMessage","no oracle row for DELETE /admin/serviceAnnouncement/messages/{param} and 'Remove-MgAdminServiceAnnouncementMessage' unshipped"
"DELETE","/admin/serviceAnnouncement/messages/{param}/attachments/{param}","suppress",,"Remove-MgAdminServiceAnnouncementMessageAttachment","no oracle row for DELETE /admin/serviceAnnouncement/messages/{param}/attachments/{param} and 'Remove-MgAdminServiceAnnouncementMessageAttachment' unshipped"
"DELETE","/admin/serviceAnnouncement/messages/{param}/attachments/{param}/$value","suppress",,"Remove-MgAdminServiceAnnouncementMessageAttachmentContent","no oracle row for DELETE /admin/serviceAnnouncement/messages/{param}/attachments/{param}/$value and 'Remove-MgAdminServiceAnnouncementMessageAttachmentContent' unshipped"
"DELETE","/admin/serviceAnnouncement/messages/{param}/attachmentsArchive","suppress",,"Remove-MgAdminServiceAnnouncementMessageAttachmentArchive","no oracle row for DELETE /admin/serviceAnnouncement/messages/{param}/attachmentsArchive and 'Remove-MgAdminServiceAnnouncementMessageAttachmentArchive' unshipped"
"DELETE","/admin/sharepoint","keep",,"Remove-MgAdminSharepoint","Remove-MgAdminSharepoint"
"DELETE","/admin/sharepoint/settings","keep",,"Remove-MgAdminSharepointSetting","Remove-MgAdminSharepointSetting"
"DELETE","/agreements/{param}","keep",,"Remove-MgAgreement","Remove-MgAgreement"
"DELETE","/agreements/{param}/acceptances/{param}","keep",,"Remove-MgAgreementAcceptance","Remove-MgAgreementAcceptance"
"DELETE","/agreements/{param}/file","keep",,"Remove-MgAgreementFile","Remove-MgAgreementFile"
"DELETE","/agreements/{param}/file/localizations/{param}","keep",,"Remove-MgAgreementFileLocalization","Remove-MgAgreementFileLocalization"
"DELETE","/agreements/{param}/file/localizations/{param}/versions/{param}","keep",,"Remove-MgAgreementFileLocalizationVersion","Remove-MgAgreementFileLocalizationVersion"
"DELETE","/agreements/{param}/files/{param}/versions/{param}","keep",,"Remove-MgAgreementFileVersion","Remove-MgAgreementFileVersion"
"DELETE","/appCatalogs/teamsApps/{param}","keep",,"Remove-MgAppCatalogTeamApp","Remove-MgAppCatalogTeamApp"
"DELETE","/appCatalogs/teamsApps/{param}/appDefinitions/{param}","keep",,"Remove-MgAppCatalogTeamAppDefinition","Remove-MgAppCatalogTeamAppDefinition"
"DELETE","/appCatalogs/teamsApps/{param}/appDefinitions/{param}/bot","keep",,"Remove-MgAppCatalogTeamAppDefinitionBot","Remove-MgAppCatalogTeamAppDefinitionBot"
"DELETE","/applications/{param}","keep",,"Remove-MgApplication","Remove-MgApplication"
"DELETE","/applications/{param}/appManagementPolicies/{param}/$ref","rename","ApplicationAppManagementPolicyAppManagementPolicyByRef","Remove-MgApplicationAppManagementPolicyByRef","Remove-MgApplicationAppManagementPolicyAppManagementPolicyByRef"
"DELETE","/applications/{param}/extensionProperties/{param}","keep",,"Remove-MgApplicationExtensionProperty","Remove-MgApplicationExtensionProperty"
"DELETE","/applications/{param}/federatedIdentityCredentials/{param}","keep",,"Remove-MgApplicationFederatedIdentityCredential","Remove-MgApplicationFederatedIdentityCredential"
"DELETE","/applications/{param}/logo","keep",,"Remove-MgApplicationLogo","Remove-MgApplicationLogo"
"DELETE","/applications/{param}/owners/{param}/$ref","rename","ApplicationOwnerDirectoryObjectByRef","Remove-MgApplicationOwnerByRef","Remove-MgApplicationOwnerDirectoryObjectByRef"
"DELETE","/applications/{param}/synchronization","keep",,"Remove-MgApplicationSynchronization","Remove-MgApplicationSynchronization"
"DELETE","/applications/{param}/synchronization/jobs/{param}","keep",,"Remove-MgApplicationSynchronizationJob","Remove-MgApplicationSynchronizationJob"
"DELETE","/applications/{param}/synchronization/jobs/{param}/bulkUpload","keep",,"Remove-MgApplicationSynchronizationJobBulkUpload","Remove-MgApplicationSynchronizationJobBulkUpload"
"DELETE","/applications/{param}/synchronization/jobs/{param}/bulkUpload/$value","keep",,"Remove-MgApplicationSynchronizationJobBulkUploadContent","Remove-MgApplicationSynchronizationJobBulkUploadContent"
"DELETE","/applications/{param}/synchronization/jobs/{param}/schema","keep",,"Remove-MgApplicationSynchronizationJobSchema","Remove-MgApplicationSynchronizationJobSchema"
"DELETE","/applications/{param}/synchronization/jobs/{param}/schema/directories/{param}","keep",,"Remove-MgApplicationSynchronizationJobSchemaDirectory","Remove-MgApplicationSynchronizationJobSchemaDirectory"
"DELETE","/applications/{param}/synchronization/templates/{param}","keep",,"Remove-MgApplicationSynchronizationTemplate","Remove-MgApplicationSynchronizationTemplate"
"DELETE","/applications/{param}/synchronization/templates/{param}/schema","keep",,"Remove-MgApplicationSynchronizationTemplateSchema","Remove-MgApplicationSynchronizationTemplateSchema"
"DELETE","/applications/{param}/synchronization/templates/{param}/schema/directories/{param}","keep",,"Remove-MgApplicationSynchronizationTemplateSchemaDirectory","Remove-MgApplicationSynchronizationTemplateSchemaDirectory"
"DELETE","/applications/{param}/tokenIssuancePolicies/{param}/$ref","rename","ApplicationTokenIssuancePolicyTokenIssuancePolicyByRef","Remove-MgApplicationTokenIssuancePolicyByRef","Remove-MgApplicationTokenIssuancePolicyTokenIssuancePolicyByRef"
"DELETE","/applications/{param}/tokenLifetimePolicies/{param}/$ref","rename","ApplicationTokenLifetimePolicyTokenLifetimePolicyByRef","Remove-MgApplicationTokenLifetimePolicyByRef","Remove-MgApplicationTokenLifetimePolicyTokenLifetimePolicyByRef"
"DELETE","/auditLogs/directoryAudits/{param}","suppress",,"Remove-MgAuditLogDirectoryAudit","no oracle row for DELETE /auditLogs/directoryAudits/{param} and 'Remove-MgAuditLogDirectoryAudit' unshipped"
"DELETE","/auditLogs/provisioning/{param}","suppress",,"Remove-MgAuditLogProvisioning","no oracle row for DELETE /auditLogs/provisioning/{param} and 'Remove-MgAuditLogProvisioning' unshipped"
"DELETE","/auditLogs/signIns/{param}","suppress",,"Remove-MgAuditLogSignIn","no oracle row for DELETE /auditLogs/signIns/{param} and 'Remove-MgAuditLogSignIn' unshipped"
"DELETE","/chats/{param}","keep",,"Remove-MgChat","Remove-MgChat"
"DELETE","/chats/{param}/installedApps/{param}","keep",,"Remove-MgChatInstalledApp","Remove-MgChatInstalledApp"
"DELETE","/chats/{param}/lastMessagePreview","keep",,"Remove-MgChatLastMessagePreview","Remove-MgChatLastMessagePreview"
"DELETE","/chats/{param}/members/{param}","keep",,"Remove-MgChatMember","Remove-MgChatMember"
"DELETE","/chats/{param}/messages/{param}","suppress",,"Remove-MgChatMessage","no oracle row for DELETE /chats/{param}/messages/{param} and 'Remove-MgChatMessage' unshipped"
"DELETE","/chats/{param}/messages/{param}/hostedContents/{param}","suppress",,"Remove-MgChatMessageHostedContent","no oracle row for DELETE /chats/{param}/messages/{param}/hostedContents/{param} and 'Remove-MgChatMessageHostedContent' unshipped"
"DELETE","/chats/{param}/messages/{param}/hostedContents/{param}/$value","suppress",,"Remove-MgChatMessageHostedContentContent","no oracle row for DELETE /chats/{param}/messages/{param}/hostedContents/{param}/$value and 'Remove-MgChatMessageHostedContentContent' unshipped"
"DELETE","/chats/{param}/messages/{param}/replies/{param}","suppress",,"Remove-MgChatMessageReply","no oracle row for DELETE /chats/{param}/messages/{param}/replies/{param} and 'Remove-MgChatMessageReply' unshipped"
"DELETE","/chats/{param}/messages/{param}/replies/{param}/hostedContents/{param}","keep",,"Remove-MgChatMessageReplyHostedContent","Remove-MgChatMessageReplyHostedContent"
"DELETE","/chats/{param}/messages/{param}/replies/{param}/hostedContents/{param}/$value","suppress",,"Remove-MgChatMessageReplyHostedContentContent","no oracle row for DELETE /chats/{param}/messages/{param}/replies/{param}/hostedContents/{param}/$value and 'Remove-MgChatMessageReplyHostedContentContent' unshipped"
"DELETE","/chats/{param}/permissionGrants/{param}","keep",,"Remove-MgChatPermissionGrant","Remove-MgChatPermissionGrant"
"DELETE","/chats/{param}/pinnedMessages/{param}","keep",,"Remove-MgChatPinnedMessage","Remove-MgChatPinnedMessage"
"DELETE","/chats/{param}/tabs/{param}","keep",,"Remove-MgChatTab","Remove-MgChatTab"
"DELETE","/chats/{param}/targetedMessages/{param}","keep",,"Remove-MgChatTargetedMessage","Remove-MgChatTargetedMessage"
"DELETE","/chats/{param}/targetedMessages/{param}/hostedContents/{param}","keep",,"Remove-MgChatTargetedMessageHostedContent","Remove-MgChatTargetedMessageHostedContent"
"DELETE","/chats/{param}/targetedMessages/{param}/hostedContents/{param}/$value","suppress",,"Remove-MgChatTargetedMessageHostedContentContent","no oracle row for DELETE /chats/{param}/targetedMessages/{param}/hostedContents/{param}/$value and 'Remove-MgChatTargetedMessageHostedContentContent' unshipped"
"DELETE","/chats/{param}/targetedMessages/{param}/replies/{param}","keep",,"Remove-MgChatTargetedMessageReply","Remove-MgChatTargetedMessageReply"
"DELETE","/chats/{param}/targetedMessages/{param}/replies/{param}/hostedContents/{param}","keep",,"Remove-MgChatTargetedMessageReplyHostedContent","Remove-MgChatTargetedMessageReplyHostedContent"
"DELETE","/chats/{param}/targetedMessages/{param}/replies/{param}/hostedContents/{param}/$value","suppress",,"Remove-MgChatTargetedMessageReplyHostedContentContent","no oracle row for DELETE /chats/{param}/targetedMessages/{param}/replies/{param}/hostedContents/{param}/$value and 'Remove-MgChatTargetedMessageReplyHostedContentContent' unshipped"
"DELETE","/communications/adhocCalls/{param}","keep",,"Remove-MgCommunicationAdhocCall","Remove-MgCommunicationAdhocCall"
"DELETE","/communications/adhocCalls/{param}/recordings/{param}","keep",,"Remove-MgCommunicationAdhocCallRecording","Remove-MgCommunicationAdhocCallRecording"
"DELETE","/communications/adhocCalls/{param}/recordings/{param}/$value","keep",,"Remove-MgCommunicationAdhocCallRecordingContent","Remove-MgCommunicationAdhocCallRecordingContent"
"DELETE","/communications/adhocCalls/{param}/transcripts/{param}","keep",,"Remove-MgCommunicationAdhocCallTranscript","Remove-MgCommunicationAdhocCallTranscript"
"DELETE","/communications/adhocCalls/{param}/transcripts/{param}/$value","keep",,"Remove-MgCommunicationAdhocCallTranscriptContent","Remove-MgCommunicationAdhocCallTranscriptContent"
"DELETE","/communications/adhocCalls/{param}/transcripts/{param}/metadataContent","keep",,"Remove-MgCommunicationAdhocCallTranscriptMetadataContent","Remove-MgCommunicationAdhocCallTranscriptMetadataContent"
"DELETE","/communications/callRecords/{param}","suppress",,"Remove-MgCommunicationCallRecord","no oracle row for DELETE /communications/callRecords/{param} and 'Remove-MgCommunicationCallRecord' unshipped"
"DELETE","/communications/callRecords/{param}/sessions/{param}","keep",,"Remove-MgCommunicationCallRecordSession","Remove-MgCommunicationCallRecordSession"
"DELETE","/communications/callRecords/{param}/sessions/{param}/segments/{param}","suppress",,"Remove-MgCommunicationCallRecordSessionSegment","no oracle row for DELETE /communications/callRecords/{param}/sessions/{param}/segments/{param} and 'Remove-MgCommunicationCallRecordSessionSegment' unshipped"
"DELETE","/communications/calls/{param}","keep",,"Remove-MgCommunicationCall","Remove-MgCommunicationCall"
"DELETE","/communications/calls/{param}/audioRoutingGroups/{param}","keep",,"Remove-MgCommunicationCallAudioRoutingGroup","Remove-MgCommunicationCallAudioRoutingGroup"
"DELETE","/communications/calls/{param}/contentSharingSessions/{param}","keep",,"Remove-MgCommunicationCallContentSharingSession","Remove-MgCommunicationCallContentSharingSession"
"DELETE","/communications/calls/{param}/operations/{param}","keep",,"Remove-MgCommunicationCallOperation","Remove-MgCommunicationCallOperation"
"DELETE","/communications/calls/{param}/participants/{param}","keep",,"Remove-MgCommunicationCallParticipant","Remove-MgCommunicationCallParticipant"
"DELETE","/communications/onlineMeetingConversations/{param}","keep",,"Remove-MgCommunicationOnlineMeetingConversation","Remove-MgCommunicationOnlineMeetingConversation"
"DELETE","/communications/onlineMeetingConversations/{param}/messages/{param}","keep",,"Remove-MgCommunicationOnlineMeetingConversationMessage","Remove-MgCommunicationOnlineMeetingConversationMessage"
"DELETE","/communications/onlineMeetingConversations/{param}/messages/{param}/reactions/{param}","keep",,"Remove-MgCommunicationOnlineMeetingConversationMessageReaction","Remove-MgCommunicationOnlineMeetingConversationMessageReaction"
"DELETE","/communications/onlineMeetingConversations/{param}/messages/{param}/replies/{param}","keep",,"Remove-MgCommunicationOnlineMeetingConversationMessageReply","Remove-MgCommunicationOnlineMeetingConversationMessageReply"
"DELETE","/communications/onlineMeetingConversations/{param}/messages/{param}/replies/{param}/reactions/{param}","keep",,"Remove-MgCommunicationOnlineMeetingConversationMessageReplyReaction","Remove-MgCommunicationOnlineMeetingConversationMessageReplyReaction"
"DELETE","/communications/onlineMeetingConversations/{param}/onlineMeeting/attendeeReport","keep",,"Remove-MgCommunicationOnlineMeetingConversationOnlineMeetingAttendeeReport","Remove-MgCommunicationOnlineMeetingConversationOnlineMeetingAttendeeReport"
"DELETE","/communications/onlineMeetingConversations/{param}/starter","keep",,"Remove-MgCommunicationOnlineMeetingConversationStarter","Remove-MgCommunicationOnlineMeetingConversationStarter"
"DELETE","/communications/onlineMeetingConversations/{param}/starter/reactions/{param}","keep",,"Remove-MgCommunicationOnlineMeetingConversationStarterReaction","Remove-MgCommunicationOnlineMeetingConversationStarterReaction"
"DELETE","/communications/onlineMeetingConversations/{param}/starter/replies/{param}","keep",,"Remove-MgCommunicationOnlineMeetingConversationStarterReply","Remove-MgCommunicationOnlineMeetingConversationStarterReply"
"DELETE","/communications/onlineMeetingConversations/{param}/starter/replies/{param}/reactions/{param}","keep",,"Remove-MgCommunicationOnlineMeetingConversationStarterReplyReaction","Remove-MgCommunicationOnlineMeetingConversationStarterReplyReaction"
"DELETE","/communications/onlineMeetings/{param}","keep",,"Remove-MgCommunicationOnlineMeeting","Remove-MgCommunicationOnlineMeeting"
"DELETE","/communications/onlineMeetings/{param}/attendanceReports/{param}","keep",,"Remove-MgCommunicationOnlineMeetingAttendanceReport","Remove-MgCommunicationOnlineMeetingAttendanceReport"
"DELETE","/communications/onlineMeetings/{param}/attendanceReports/{param}/attendanceRecords/{param}","keep",,"Remove-MgCommunicationOnlineMeetingAttendanceReportAttendanceRecord","Remove-MgCommunicationOnlineMeetingAttendanceReportAttendanceRecord"
"DELETE","/communications/onlineMeetings/{param}/attendeeReport","keep",,"Remove-MgCommunicationOnlineMeetingAttendeeReport","Remove-MgCommunicationOnlineMeetingAttendeeReport"
"DELETE","/communications/onlineMeetings/{param}/recordings/{param}","keep",,"Remove-MgCommunicationOnlineMeetingRecording","Remove-MgCommunicationOnlineMeetingRecording"
"DELETE","/communications/onlineMeetings/{param}/recordings/{param}/$value","keep",,"Remove-MgCommunicationOnlineMeetingRecordingContent","Remove-MgCommunicationOnlineMeetingRecordingContent"
"DELETE","/communications/onlineMeetings/{param}/transcripts/{param}","keep",,"Remove-MgCommunicationOnlineMeetingTranscript","Remove-MgCommunicationOnlineMeetingTranscript"
"DELETE","/communications/onlineMeetings/{param}/transcripts/{param}/$value","keep",,"Remove-MgCommunicationOnlineMeetingTranscriptContent","Remove-MgCommunicationOnlineMeetingTranscriptContent"
"DELETE","/communications/onlineMeetings/{param}/transcripts/{param}/metadataContent","keep",,"Remove-MgCommunicationOnlineMeetingTranscriptMetadataContent","Remove-MgCommunicationOnlineMeetingTranscriptMetadataContent"
"DELETE","/communications/presences/{param}","keep",,"Remove-MgCommunicationPresence","Remove-MgCommunicationPresence"
"DELETE","/contacts/{param}","keep",,"Remove-MgContact","Remove-MgContact"
"DELETE","/contacts/{param}/onPremisesSyncBehavior","keep",,"Remove-MgContactOnPremiseSyncBehavior","Remove-MgContactOnPremiseSyncBehavior"
"DELETE","/contracts/{param}","keep",,"Remove-MgContract","Remove-MgContract"
"DELETE","/dataPolicyOperations/{param}","keep",,"Remove-MgDataPolicyOperation","Remove-MgDataPolicyOperation"
"DELETE","/deviceAppManagement/androidManagedAppProtections/{param}","keep",,"Remove-MgDeviceAppManagementAndroidManagedAppProtection","Remove-MgDeviceAppManagementAndroidManagedAppProtection"
"DELETE","/deviceAppManagement/androidManagedAppProtections/{param}/apps/{param}","keep",,"Remove-MgDeviceAppManagementAndroidManagedAppProtectionApp","Remove-MgDeviceAppManagementAndroidManagedAppProtectionApp"
"DELETE","/deviceAppManagement/androidManagedAppProtections/{param}/assignments/{param}","keep",,"Remove-MgDeviceAppManagementAndroidManagedAppProtectionAssignment","Remove-MgDeviceAppManagementAndroidManagedAppProtectionAssignment"
"DELETE","/deviceAppManagement/androidManagedAppProtections/{param}/deploymentSummary","keep",,"Remove-MgDeviceAppManagementAndroidManagedAppProtectionDeploymentSummary","Remove-MgDeviceAppManagementAndroidManagedAppProtectionDeploymentSummary"
"DELETE","/deviceAppManagement/defaultManagedAppProtections/{param}","keep",,"Remove-MgDeviceAppManagementDefaultManagedAppProtection","Remove-MgDeviceAppManagementDefaultManagedAppProtection"
"DELETE","/deviceAppManagement/defaultManagedAppProtections/{param}/apps/{param}","keep",,"Remove-MgDeviceAppManagementDefaultManagedAppProtectionApp","Remove-MgDeviceAppManagementDefaultManagedAppProtectionApp"
"DELETE","/deviceAppManagement/defaultManagedAppProtections/{param}/deploymentSummary","keep",,"Remove-MgDeviceAppManagementDefaultManagedAppProtectionDeploymentSummary","Remove-MgDeviceAppManagementDefaultManagedAppProtectionDeploymentSummary"
"DELETE","/deviceAppManagement/iosManagedAppProtections/{param}","rename","DeviceAppManagementiOSManagedAppProtection","Remove-MgDeviceAppManagementIosManagedAppProtection","Remove-MgDeviceAppManagementiOSManagedAppProtection"
"DELETE","/deviceAppManagement/iosManagedAppProtections/{param}/apps/{param}","rename","DeviceAppManagementiOSManagedAppProtectionApp","Remove-MgDeviceAppManagementIosManagedAppProtectionApp","Remove-MgDeviceAppManagementiOSManagedAppProtectionApp"
"DELETE","/deviceAppManagement/iosManagedAppProtections/{param}/assignments/{param}","rename","DeviceAppManagementiOSManagedAppProtectionAssignment","Remove-MgDeviceAppManagementIosManagedAppProtectionAssignment","Remove-MgDeviceAppManagementiOSManagedAppProtectionAssignment"
"DELETE","/deviceAppManagement/iosManagedAppProtections/{param}/deploymentSummary","rename","DeviceAppManagementiOSManagedAppProtectionDeploymentSummary","Remove-MgDeviceAppManagementIosManagedAppProtectionDeploymentSummary","Remove-MgDeviceAppManagementiOSManagedAppProtectionDeploymentSummary"
"DELETE","/deviceAppManagement/managedAppPolicies/{param}","keep",,"Remove-MgDeviceAppManagementManagedAppPolicy","Remove-MgDeviceAppManagementManagedAppPolicy"
"DELETE","/deviceAppManagement/managedAppRegistrations/{param}","keep",,"Remove-MgDeviceAppManagementManagedAppRegistration","Remove-MgDeviceAppManagementManagedAppRegistration"
"DELETE","/deviceAppManagement/managedAppRegistrations/{param}/appliedPolicies/{param}","keep",,"Remove-MgDeviceAppManagementManagedAppRegistrationAppliedPolicy","Remove-MgDeviceAppManagementManagedAppRegistrationAppliedPolicy"
"DELETE","/deviceAppManagement/managedAppRegistrations/{param}/intendedPolicies/{param}","keep",,"Remove-MgDeviceAppManagementManagedAppRegistrationIntendedPolicy","Remove-MgDeviceAppManagementManagedAppRegistrationIntendedPolicy"
"DELETE","/deviceAppManagement/managedAppRegistrations/{param}/operations/{param}","keep",,"Remove-MgDeviceAppManagementManagedAppRegistrationOperation","Remove-MgDeviceAppManagementManagedAppRegistrationOperation"
"DELETE","/deviceAppManagement/managedAppStatuses/{param}","keep",,"Remove-MgDeviceAppManagementManagedAppStatus","Remove-MgDeviceAppManagementManagedAppStatus"
"DELETE","/deviceAppManagement/managedEBooks/{param}","keep",,"Remove-MgDeviceAppManagementManagedEBook","Remove-MgDeviceAppManagementManagedEBook"
"DELETE","/deviceAppManagement/managedEBooks/{param}/assignments/{param}","keep",,"Remove-MgDeviceAppManagementManagedEBookAssignment","Remove-MgDeviceAppManagementManagedEBookAssignment"
"DELETE","/deviceAppManagement/managedEBooks/{param}/deviceStates/{param}","keep",,"Remove-MgDeviceAppManagementManagedEBookDeviceState","Remove-MgDeviceAppManagementManagedEBookDeviceState"
"DELETE","/deviceAppManagement/managedEBooks/{param}/installSummary","keep",,"Remove-MgDeviceAppManagementManagedEBookInstallSummary","Remove-MgDeviceAppManagementManagedEBookInstallSummary"
"DELETE","/deviceAppManagement/managedEBooks/{param}/userStateSummary/{param}","keep",,"Remove-MgDeviceAppManagementManagedEBookUserStateSummary","Remove-MgDeviceAppManagementManagedEBookUserStateSummary"
"DELETE","/deviceAppManagement/managedEBooks/{param}/userStateSummary/{param}/deviceStates/{param}","keep",,"Remove-MgDeviceAppManagementManagedEBookUserStateSummaryDeviceState","Remove-MgDeviceAppManagementManagedEBookUserStateSummaryDeviceState"
"DELETE","/deviceAppManagement/mdmWindowsInformationProtectionPolicies/{param}","keep",,"Remove-MgDeviceAppManagementMdmWindowsInformationProtectionPolicy","Remove-MgDeviceAppManagementMdmWindowsInformationProtectionPolicy"
"DELETE","/deviceAppManagement/mdmWindowsInformationProtectionPolicies/{param}/assignments/{param}","keep",,"Remove-MgDeviceAppManagementMdmWindowsInformationProtectionPolicyAssignment","Remove-MgDeviceAppManagementMdmWindowsInformationProtectionPolicyAssignment"
"DELETE","/deviceAppManagement/mdmWindowsInformationProtectionPolicies/{param}/exemptAppLockerFiles/{param}","keep",,"Remove-MgDeviceAppManagementMdmWindowsInformationProtectionPolicyExemptAppLockerFile","Remove-MgDeviceAppManagementMdmWindowsInformationProtectionPolicyExemptAppLockerFile"
"DELETE","/deviceAppManagement/mdmWindowsInformationProtectionPolicies/{param}/protectedAppLockerFiles/{param}","keep",,"Remove-MgDeviceAppManagementMdmWindowsInformationProtectionPolicyProtectedAppLockerFile","Remove-MgDeviceAppManagementMdmWindowsInformationProtectionPolicyProtectedAppLockerFile"
"DELETE","/deviceAppManagement/mobileAppCategories/{param}","keep",,"Remove-MgDeviceAppManagementMobileAppCategory","Remove-MgDeviceAppManagementMobileAppCategory"
"DELETE","/deviceAppManagement/mobileAppConfigurations/{param}","keep",,"Remove-MgDeviceAppManagementMobileAppConfiguration","Remove-MgDeviceAppManagementMobileAppConfiguration"
"DELETE","/deviceAppManagement/mobileAppConfigurations/{param}/assignments/{param}","keep",,"Remove-MgDeviceAppManagementMobileAppConfigurationAssignment","Remove-MgDeviceAppManagementMobileAppConfigurationAssignment"
"DELETE","/deviceAppManagement/mobileAppConfigurations/{param}/deviceStatuses/{param}","keep",,"Remove-MgDeviceAppManagementMobileAppConfigurationDeviceStatus","Remove-MgDeviceAppManagementMobileAppConfigurationDeviceStatus"
"DELETE","/deviceAppManagement/mobileAppConfigurations/{param}/deviceStatusSummary","keep",,"Remove-MgDeviceAppManagementMobileAppConfigurationDeviceStatusSummary","Remove-MgDeviceAppManagementMobileAppConfigurationDeviceStatusSummary"
"DELETE","/deviceAppManagement/mobileAppConfigurations/{param}/userStatuses/{param}","keep",,"Remove-MgDeviceAppManagementMobileAppConfigurationUserStatus","Remove-MgDeviceAppManagementMobileAppConfigurationUserStatus"
"DELETE","/deviceAppManagement/mobileAppConfigurations/{param}/userStatusSummary","keep",,"Remove-MgDeviceAppManagementMobileAppConfigurationUserStatusSummary","Remove-MgDeviceAppManagementMobileAppConfigurationUserStatusSummary"
"DELETE","/deviceAppManagement/mobileAppRelationships/{param}","keep",,"Remove-MgDeviceAppManagementMobileAppRelationship","Remove-MgDeviceAppManagementMobileAppRelationship"
"DELETE","/deviceAppManagement/mobileApps/{param}","keep",,"Remove-MgDeviceAppManagementMobileApp","Remove-MgDeviceAppManagementMobileApp"
"DELETE","/deviceAppManagement/mobileApps/{param}/assignments/{param}","keep",,"Remove-MgDeviceAppManagementMobileAppAssignment","Remove-MgDeviceAppManagementMobileAppAssignment"
"DELETE","/deviceAppManagement/targetedManagedAppConfigurations/{param}","keep",,"Remove-MgDeviceAppManagementTargetedManagedAppConfiguration","Remove-MgDeviceAppManagementTargetedManagedAppConfiguration"
"DELETE","/deviceAppManagement/targetedManagedAppConfigurations/{param}/apps/{param}","keep",,"Remove-MgDeviceAppManagementTargetedManagedAppConfigurationApp","Remove-MgDeviceAppManagementTargetedManagedAppConfigurationApp"
