OperationId,FirstModule,FirstPath,FirstMethod,SecondModule,SecondPath,SecondMethod
user.calendar.calendarView.instance_tentativelyAccept,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/microsoft.graph.tentativelyAccept,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/microsoft.graph.tentativelyAccept,Post
user.calendar.calendarView.instance_GetCount,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/$count,Get
user.calendar.calendarView.instance_delta,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/instances/microsoft.graph.delta(),Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/microsoft.graph.delta(),Get
user.calendar.calendarView_accept,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/microsoft.graph.accept,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/microsoft.graph.accept,Post
user.calendar.calendarView_cancel,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/microsoft.graph.cancel,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/microsoft.graph.cancel,Post
user.calendar.calendarView_decline,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/microsoft.graph.decline,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/microsoft.graph.decline,Post
user.calendar.calendarView_dismissReminder,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/microsoft.graph.dismissReminder,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/microsoft.graph.dismissReminder,Post
user.calendar.calendarView_forward,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/microsoft.graph.forward,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/microsoft.graph.forward,Post
user.calendar.calendarView_snoozeReminder,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/microsoft.graph.snoozeReminder,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/microsoft.graph.snoozeReminder,Post
user.calendar.calendarView_tentativelyAccept,Calendar,/users/{user-id}/calendar/calendarView/{event-id}/microsoft.graph.tentativelyAccept,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/microsoft.graph.tentativelyAccept,Post
user.calendar.calendarView_GetCount,Calendar,/users/{user-id}/calendar/calendarView/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/$count,Get
user.calendar.calendarView_delta,Calendar,/users/{user-id}/calendar/calendarView/microsoft.graph.delta(),Get,Calendar,/users/{user-id}/calendars/{calendar-id}/calendarView/microsoft.graph.delta(),Get
user.calendar_ListEvent,Calendar,/users/{user-id}/calendar/events,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events,Get
user.calendar_CreateEvent,Calendar,/users/{user-id}/calendar/events,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events,Post
user.calendar_GetEvent,Calendar,/users/{user-id}/calendar/events/{event-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id},Get
user.calendar_UpdateEvent,Calendar,/users/{user-id}/calendar/events/{event-id},Patch,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id},Patch
user.calendar_DeleteEvent,Calendar,/users/{user-id}/calendar/events/{event-id},Delete,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id},Delete
user.calendar.event_ListAttachment,Calendar,/users/{user-id}/calendar/events/{event-id}/attachments,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/attachments,Get
user.calendar.event_CreateAttachment,Calendar,/users/{user-id}/calendar/events/{event-id}/attachments,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/attachments,Post
user.calendar.event_GetAttachment,Calendar,/users/{user-id}/calendar/events/{event-id}/attachments/{attachment-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/attachments/{attachment-id},Get
user.calendar.event_DeleteAttachment,Calendar,/users/{user-id}/calendar/events/{event-id}/attachments/{attachment-id},Delete,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/attachments/{attachment-id},Delete
user.calendar.event.attachment_GetCount,Calendar,/users/{user-id}/calendar/events/{event-id}/attachments/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/attachments/$count,Get
user.calendar.event.attachment_createUploadSession,Calendar,/users/{user-id}/calendar/events/{event-id}/attachments/microsoft.graph.createUploadSession,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/attachments/microsoft.graph.createUploadSession,Post
user.calendar.event_GetCalendar,Calendar,/users/{user-id}/calendar/events/{event-id}/calendar,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/calendar,Get
user.calendar.event_ListExtension,Calendar,/users/{user-id}/calendar/events/{event-id}/extensions,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/extensions,Get
user.calendar.event_CreateExtension,Calendar,/users/{user-id}/calendar/events/{event-id}/extensions,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/extensions,Post
user.calendar.event_GetExtension,Calendar,/users/{user-id}/calendar/events/{event-id}/extensions/{extension-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/extensions/{extension-id},Get
user.calendar.event_UpdateExtension,Calendar,/users/{user-id}/calendar/events/{event-id}/extensions/{extension-id},Patch,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/extensions/{extension-id},Patch
user.calendar.event_DeleteExtension,Calendar,/users/{user-id}/calendar/events/{event-id}/extensions/{extension-id},Delete,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/extensions/{extension-id},Delete
user.calendar.event.extension_GetCount,Calendar,/users/{user-id}/calendar/events/{event-id}/extensions/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/extensions/$count,Get
user.calendar.event_ListInstance,Calendar,/users/{user-id}/calendar/events/{event-id}/instances,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances,Get
user.calendar.event_GetInstance,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1},Get
user.calendar.event.instance_ListAttachment,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/attachments,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/attachments,Get
user.calendar.event.instance_CreateAttachment,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/attachments,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/attachments,Post
user.calendar.event.instance_GetAttachment,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/attachments/{attachment-id},Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/attachments/{attachment-id},Get
