"Module","ApiVersion","Cmdlet","Verb","Noun","RequestPath","IsWorker","File"
"Applications","v1.0","Get-MgApplicationHomeRealmDiscoveryPolicy","Get","MgApplicationHomeRealmDiscoveryPolicy","(dispatcher)","False","GetMgApplicationHomeRealmDiscoveryPolicy.g.cs"
"Applications","v1.0","Get-MgApplicationHomeRealmDiscoveryPolicy_Get","Get","MgApplicationHomeRealmDiscoveryPolicy_Get","Applications[ApplicationId].HomeRealmDiscoveryPolicies[HomeRealmDiscoveryPolicyId]","True","GetMgApplicationHomeRealmDiscoveryPolicy_Get.g.cs"
"Applications","v1.0","Get-MgApplicationHomeRealmDiscoveryPolicy_List","Get","MgApplicationHomeRealmDiscoveryPolicy_List","Applications[ApplicationId].HomeRealmDiscoveryPolicies","True","GetMgApplicationHomeRealmDiscoveryPolicy_List.g.cs"
"Applications","v1.0","Get-MgApplicationHomeRealmDiscoveryPolicyCount","Get","MgApplicationHomeRealmDiscoveryPolicyCount","Applications[ApplicationId].HomeRealmDiscoveryPolicies.Count","False","GetMgApplicationHomeRealmDiscoveryPolicyCount.g.cs"
"Applications","v1.0","Get-MgApplicationLogo","Get","MgApplicationLogo","Applications[ApplicationId].Logo","False","GetMgApplicationLogo.g.cs"
"Applications","v1.0","Get-MgApplicationMemberGroup","Get","MgApplicationMemberGroup","(dispatcher)","False","GetMgApplicationMemberGroup.g.cs"
"Applications","v1.0","Get-MgApplicationMemberObject","Get","MgApplicationMemberObject","(dispatcher)","False","GetMgApplicationMemberObject.g.cs"
"Applications","v1.0","Get-MgApplicationOwner","Get","MgApplicationOwner","Applications[ApplicationId].Owners","False","GetMgApplicationOwner.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsAppRoleAssignment","Get","MgApplicationOwnerAsAppRoleAssignment","(dispatcher)","False","GetMgApplicationOwnerAsAppRoleAssignment.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsAppRoleAssignment_Get","Get","MgApplicationOwnerAsAppRoleAssignment_Get","Applications[ApplicationId].Owners[DirectoryObjectId].GraphAppRoleAssignment","True","GetMgApplicationOwnerAsAppRoleAssignment_Get.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsAppRoleAssignment_List","Get","MgApplicationOwnerAsAppRoleAssignment_List","Applications[ApplicationId].Owners.GraphAppRoleAssignment","True","GetMgApplicationOwnerAsAppRoleAssignment_List.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsEndpoint","Get","MgApplicationOwnerAsEndpoint","(dispatcher)","False","GetMgApplicationOwnerAsEndpoint.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsEndpoint_Get","Get","MgApplicationOwnerAsEndpoint_Get","Applications[ApplicationId].Owners[DirectoryObjectId].GraphEndpoint","True","GetMgApplicationOwnerAsEndpoint_Get.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsEndpoint_List","Get","MgApplicationOwnerAsEndpoint_List","Applications[ApplicationId].Owners.GraphEndpoint","True","GetMgApplicationOwnerAsEndpoint_List.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsServicePrincipal","Get","MgApplicationOwnerAsServicePrincipal","(dispatcher)","False","GetMgApplicationOwnerAsServicePrincipal.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsServicePrincipal_Get","Get","MgApplicationOwnerAsServicePrincipal_Get","Applications[ApplicationId].Owners[DirectoryObjectId].GraphServicePrincipal","True","GetMgApplicationOwnerAsServicePrincipal_Get.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsServicePrincipal_List","Get","MgApplicationOwnerAsServicePrincipal_List","Applications[ApplicationId].Owners.GraphServicePrincipal","True","GetMgApplicationOwnerAsServicePrincipal_List.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsUser","Get","MgApplicationOwnerAsUser","(dispatcher)","False","GetMgApplicationOwnerAsUser.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsUser_Get","Get","MgApplicationOwnerAsUser_Get","Applications[ApplicationId].Owners[DirectoryObjectId].GraphUser","True","GetMgApplicationOwnerAsUser_Get.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerAsUser_List","Get","MgApplicationOwnerAsUser_List","Applications[ApplicationId].Owners.GraphUser","True","GetMgApplicationOwnerAsUser_List.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerByRef","Get","MgApplicationOwnerByRef","Applications[ApplicationId].Owners.Ref","False","GetMgApplicationOwnerByRef.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerCount","Get","MgApplicationOwnerCount","Applications[ApplicationId].Owners.Count","False","GetMgApplicationOwnerCount.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerCountAsAppRoleAssignment","Get","MgApplicationOwnerCountAsAppRoleAssignment","Applications[ApplicationId].Owners.GraphAppRoleAssignment.Count","False","GetMgApplicationOwnerCountAsAppRoleAssignment.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerCountAsEndpoint","Get","MgApplicationOwnerCountAsEndpoint","Applications[ApplicationId].Owners.GraphEndpoint.Count","False","GetMgApplicationOwnerCountAsEndpoint.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerCountAsServicePrincipal","Get","MgApplicationOwnerCountAsServicePrincipal","Applications[ApplicationId].Owners.GraphServicePrincipal.Count","False","GetMgApplicationOwnerCountAsServicePrincipal.g.cs"
"Applications","v1.0","Get-MgApplicationOwnerCountAsUser","Get","MgApplicationOwnerCountAsUser","Applications[ApplicationId].Owners.GraphUser.Count","False","GetMgApplicationOwnerCountAsUser.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronization","Get","MgApplicationSynchronization","Applications[ApplicationId].Synchronization","False","GetMgApplicationSynchronization.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationAccessToken","Get","MgApplicationSynchronizationAccessToken","Applications[ApplicationId].Synchronization.AcquireAccessToken","False","GetMgApplicationSynchronizationAccessToken.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJob","Get","MgApplicationSynchronizationJob","(dispatcher)","False","GetMgApplicationSynchronizationJob.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJob_Get","Get","MgApplicationSynchronizationJob_Get","Applications[ApplicationId].Synchronization.Jobs[SynchronizationJobId]","True","GetMgApplicationSynchronizationJob_Get.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJob_List","Get","MgApplicationSynchronizationJob_List","Applications[ApplicationId].Synchronization.Jobs","True","GetMgApplicationSynchronizationJob_List.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJobBulkUpload","Get","MgApplicationSynchronizationJobBulkUpload","Applications[ApplicationId].Synchronization.Jobs[SynchronizationJobId].BulkUpload","False","GetMgApplicationSynchronizationJobBulkUpload.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJobBulkUploadContent","Get","MgApplicationSynchronizationJobBulkUploadContent","Applications[ApplicationId].Synchronization.Jobs[SynchronizationJobId].BulkUpload.Content","False","GetMgApplicationSynchronizationJobBulkUploadContent.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJobCount","Get","MgApplicationSynchronizationJobCount","Applications[ApplicationId].Synchronization.Jobs.Count","False","GetMgApplicationSynchronizationJobCount.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJobSchema","Get","MgApplicationSynchronizationJobSchema","Applications[ApplicationId].Synchronization.Jobs[SynchronizationJobId].Schema","False","GetMgApplicationSynchronizationJobSchema.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJobSchemaDirectory","Get","MgApplicationSynchronizationJobSchemaDirectory","(dispatcher)","False","GetMgApplicationSynchronizationJobSchemaDirectory.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJobSchemaDirectory_Get","Get","MgApplicationSynchronizationJobSchemaDirectory_Get","Applications[ApplicationId].Synchronization.Jobs[SynchronizationJobId].Schema.Directories[DirectoryDefinitionId]","True","GetMgApplicationSynchronizationJobSchemaDirectory_Get.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJobSchemaDirectory_List","Get","MgApplicationSynchronizationJobSchemaDirectory_List","Applications[ApplicationId].Synchronization.Jobs[SynchronizationJobId].Schema.Directories","True","GetMgApplicationSynchronizationJobSchemaDirectory_List.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationJobSchemaDirectoryCount","Get","MgApplicationSynchronizationJobSchemaDirectoryCount","Applications[ApplicationId].Synchronization.Jobs[SynchronizationJobId].Schema.Directories.Count","False","GetMgApplicationSynchronizationJobSchemaDirectoryCount.g.cs"
"Applications","v1.0","Get-MgApplicationSynchronizationSecretCount","Get","MgApplicationSynchronizationSecretCount","Applications[ApplicationId].Synchronization.Secrets.Count","False","GetMgApplicationSynchronizationSecretCount.g.cs"
