CmdletName,ModuleName,ExampleCountV1,ExampleCountBeta
Get-MgUserDirectReport,Microsoft.Graph.Users,1,1
Get-MgUserLicenseDetail,Microsoft.Graph.Users,1,1
Get-MgUserManager,Microsoft.Graph.Users,1,1
Get-MgUserPhoto,Microsoft.Graph.Users,1,1
New-MgUser,Microsoft.Graph.Users,1,1
Remove-MgUser,Microsoft.Graph.Users,2,2
Set-MgUserManagerByRef,Microsoft.Graph.Users,1,1
Update-MgUser,Microsoft.Graph.Users,1,1
Set-MgUserLicense,Microsoft.Graph.Users.Actions,6,6
New-MgInvitation,Microsoft.Graph.Identity.SignIns,2,0
Get-MgUserOauth2PermissionGrant,Microsoft.Graph.Users,1,0
Remove-MgUserManagerByRef,Microsoft.Graph.Users,1,0
Get-MgPolicyPermissionGrantPolicy,Microsoft.Graph.Identity.SignIns,2,2
Get-MgPolicyPermissionGrantPolicyExclude,Microsoft.Graph.Identity.SignIns,1,1
Get-MgPolicyPermissionGrantPolicyInclude,Microsoft.Graph.Identity.SignIns,1,1
New-MgPolicyPermissionGrantPolicy,Microsoft.Graph.Identity.SignIns,1,1
New-MgPolicyPermissionGrantPolicyExclude,Microsoft.Graph.Identity.SignIns,1,1
New-MgPolicyPermissionGrantPolicyInclude,Microsoft.Graph.Identity.SignIns,1,1
Remove-MgPolicyPermissionGrantPolicy,Microsoft.Graph.Identity.SignIns,1,1
Remove-MgPolicyPermissionGrantPolicyExclude,Microsoft.Graph.Identity.SignIns,1,1
Remove-MgPolicyPermissionGrantPolicyInclude,Microsoft.Graph.Identity.SignIns,1,1
Update-MgPolicyPermissionGrantPolicy,Microsoft.Graph.Identity.SignIns,1,1
Update-MgPolicyPermissionGrantPolicyExclude,Microsoft.Graph.Identity.SignIns,1,1
Update-MgPolicyPermissionGrantPolicyInclude,Microsoft.Graph.Identity.SignIns,1,1
New-MgEntitlementManagementAssignmentPolicy,Microsoft.Graph.Identity.Governance,1,0
Get-MgEntitlementManagementCatalog,Microsoft.Graph.Identity.Governance,2,0
Remove-MgEntitlementManagementAssignmentPolicy,Microsoft.Graph.Identity.Governance,1,0
